M7_E8_Male,M7_F17_Male,25G_E8_Male,25G_F17_Male,26A_F17_Male,M7_E8_Female,M7_F17_Female,25G_E8_Female,25G_F17_Female
56,88,0,0,0,0,53,0,0
96,87,0,0,0,80,51,0,0
96,87,0,0,0,56,49,0,0
84,77,0,0,0,50,46,0,0
78,72,0,0,0,46,42,0,0
77,66,0,0,0,45,37,1,20
73,58,0,0,0,41,34,0,0
73,55,0,0,0,24,34,0,0
72,55,22,0,0,22,30,0,0
61,35,0,0,0,21,30,7,0
53,28,0,0,0,17,27,0,4
52,20,0,0,0,15,24,0,0
49,0,0,0,0,14,20,0,0
40,0,0,0,0,14,20,0,0
34,0,0,0,0,6,14,0,0
20,0,0,0,0,5,9,0,0
19,0,0,0,0,4,5,0,9
6,0,0,0,0,1,5,5,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11
